Label: 1
Points: 174
0.64 184 254
0.65 188 256
0.66 191 259
0 176 452
0.01 176 452
0.02 176 452
0.03 176 452
0.04 176 452
0.05 176 452
0.06 176 452
0.07 176 452
0.08 176 450
0.09 175 448
0.1 173 444
0.11 173 440
0.12 171 434
0.13 171 429
0.14 169 421
0.15 168 413
0.16 168 403
0.17 168 386
0.18 168 377
0.19 166 368
0.2 166 358
0.21 166 348
0.22 167 335
0.23 167 323
0.24 167 311
0.25 166 293
0.26 166 285
0.27 166 279
0.28 166 274
0 93 439
0.01 93 439
0.02 92 438
0.03 92 438
0.04 92 438
0.05 92 438
0.06 92 438
0.07 92 438
0.08 92 436
0.09 92 434
0.1 92 431
0.11 92 427
0.12 91 413
0.13 89 405
0.14 87 397
0.15 85 387
0.16 83 377
0.17 81 364
0.18 78 350
0.19 77 337
0.2 75 314
0.21 75 305
0.22 75 296
0.23 75 288
0.24 74 281
0.25 74 275
0.26 74 271
0.27 74 270
0.28 74 267
0.29 74 267
0.3 74 267
0.31 74 268
0.32 73 274
0.33 73 280
0.34 73 287
0.35 73 296
0.36 71 305
0.37 70 318
0.38 67 330
0.39 67 344
0.4 65 370
0.41 65 381
0.42 65 390
0.43 65 400
0.44 67 415
0.45 68 423
0.46 70 429
0.47 72 434
0.48 76 445
0.49 79 449
0.5 81 454
0.51 84 460
0.52 93 469
0.53 98 473
0.54 103 476
0.55 110 477
0.56 117 477
0.57 125 477
0.58 136 475
0.59 146 473
0.6 155 471
0.61 165 468
0.62 172 465
0.63 178 462
0.64 183 459
0.65 186 454
0.66 190 448
0.67 192 442
0.68 192 434
0.69 193 428
0.7 191 420
0.71 191 412
0.72 191 404
0.73 187 397
0.74 185 390
0.75 181 384
0.76 176 379
0.77 170 374
0.78 162 371
0.79 155 368
0.8 146 367
0.81 139 367
0.82 133 365
0.83 126 367
0.84 116 370
0.85 113 372
0.86 109 373
0.87 106 373
0.88 103 374
0.89 103 374
0.9 103 374
0.91 103 374
0.92 102 374
0.93 102 376
0.94 103 376
0.95 104 378
0.96 104 379
0.97 104 380
0.98 104 380
0.99 106 380
1.0 106 380
1.01 109 380
1.02 110 380
1.03 113 378
1.04 118 374
1.05 121 371
1.06 125 366
1.07 132 356
1.08 135 350
1.09 138 343
1.1 142 336
1.11 147 325
1.12 150 315
1.13 154 305
1.14 157 296
1.15 159 289
1.16 161 282
1.17 164 274

Label: 2
Points: 279
0 90 450
0.01 90 450
0.02 90 450
0.03 90 450
0.04 88 447
0.05 88 446
0.06 86 443
0.07 84 441
0.08 81 437
0.09 80 433
0.1 80 430
0.11 79 426
0.12 79 417
0.13 79 411
0.14 79 405
0.15 79 399
0.16 79 393
0.17 79 383
0.18 79 374
0.19 77 363
0.2 75 344
0.21 75 334
0.22 73 326
0.23 73 317
0.24 71 307
0.25 71 298
0.26 71 288
0.27 73 281
0.28 74 274
0.29 74 270
0.3 74 267
0.31 76 264
0.32 76 264
0.33 75 264
0.34 73 266
0.35 75 267
0.36 75 269
0.37 75 273
0.38 75 279
0.39 75 286
0.4 75 295
0.41 75 305
0.42 73 323
0.43 73 333
0.44 73 342
0.45 73 352
0.46 74 371
0.47 74 381
0.48 76 391
0.49 76 400
0.5 79 409
0.51 83 418
0.52 86 427
0.53 89 436
0.54 91 443
0.55 95 448
0.56 100 452
0.57 105 456
0.58 117 461
0.59 122 463
0.6 129 463
0.61 134 463
0.62 141 463
0.63 147 463
0.64 153 461
0.65 161 459
0.66 167 458
0.67 172 455
0.68 178 451
0.69 180 447
0.7 183 438
0.71 183 434
0.72 183 431
0.73 182 426
0.74 178 422
0.75 176 417
0.76 172 412
0.77 162 406
0.78 158 402
0.79 153 400
0.8 148 397
0.81 142 394
0.82 135 393
0.83 129 390
0.84 119 388
0.85 115 387
0.86 111 387
0.87 107 387
0.88 105 387
0.89 102 387
0.9 100 387
0.91 100 387
0.92 99 387
0.93 99 387
0.94 99 385
0.95 100 385
0.96 100 385
0.97 103 384
0.98 104 384
0.99 104 384
1.0 107 384
1.01 110 384
1.02 113 385
1.03 117 385
1.04 126 385
1.05 131 385
1.06 136 385
1.07 141 385
1.08 152 383
1.09 157 383
1.1 162 383
1.11 166 383
1.12 171 381
1.13 177 378
1.14 182 376
1.15 187 373
1.16 190 370
1.17 194 365
1.18 197 358
1.19 200 351
1.2 207 335
1.21 209 327
1.22 211 318
1.23 211 309
1.24 211 290
1.25 210 281
1.26 208 271
1.27 206 263
1.28 203 254
1.29 199 245
1.3 194 236
1.31 188 228
1.32 174 217
1.33 168 215
1.34 160 213
1.35 153 213
1.36 134 217
1.37 125 220
1.38 115 224
1.39 104 228
1.4 96 232
1.41 85 238
1.42 74 244
1.43 68 248
1.44 57 255
1.45 55 258
1.46 53 261
1.47 53 264
0 0 0
0.01 0 0
0 0 0
0.01 0 0
0 98 343
0.01 98 343
0.02 99 343
0.03 99 341
0.04 99 340
0.05 99 339
0.06 99 337
0.07 99 334
0.08 104 330
0.09 107 329
0.1 112 327
0.11 119 326
0.12 131 326
0.13 138 328
0.14 145 330
0.15 153 332
0.16 161 336
0.17 171 343
0.18 182 350
0.19 189 361
0.2 200 380
0.21 202 389
0.22 204 397
0.23 204 404
0.24 203 409
0.25 198 418
0.26 195 420
0.27 191 422
0.28 187 422
0.29 182 422
0.3 177 419
0.31 171 413
0.32 164 407
0.33 150 392
0.34 144 384
0.35 138 376
0.36 133 367
0.37 125 348
0.38 121 340
0.39 119 333
0.4 118 325
0.41 116 319
0.42 118 311
0.43 121 304
0.44 125 298
0.45 137 289
0.46 144 286
0.47 152 284
0.48 160 284
0.49 169 283
0.5 182 283
0.51 196 287
0.52 208 292
0.53 229 304
0.54 238 310
0.55 245 315
0 182 440
0.01 182 441
0.02 180 441
0.03 178 444
0.04 178 444
0.05 178 444
0.06 178 444
0.07 177 443
0.08 177 441
0.09 173 437
0.1 172 431
0.11 168 416
0.12 166 407
0.13 164 397
0.14 160 387
0.15 156 375
0.16 153 359
0.17 147 343
0.18 142 327
0.19 133 300
0.2 131 289
0.21 129 279
0.22 127 271
0.23 127 259
0.24 126 256
0.25 126 253
0.26 126 252
0.27 124 250
0.28 124 250
0.29 122 250
0.3 122 252
0.31 121 253
0.32 118 258
0.33 118 261
0.34 117 264
0.35 117 269
0.36 120 279
0.37 123 285
0.38 126 291
0.39 129 299
0.4 138 315
0.41 142 323
0.42 148 330
0.43 155 338
0.44 160 344
0.45 169 351
0.46 177 354
0.47 183 358
0.48 193 361
0.49 196 361
0.5 200 361
0.51 203 359
0.52 208 356
0.53 211 354
0.54 212 352
0.55 212 350
0.56 214 346
0.57 214 340
0.58 211 333
0.59 211 323
0.6 206 306
0.61 204 299
0.62 201 293
0.63 198 287
0.64 193 276
0.65 191 272
0.66 190 268
0.67 188 265
0.68 187 263
0.69 187 260
0.7 187 259

Label: 5
Points: 92
0 0 0
0.01 0 0
0 128 525
0.01 128 527
0.02 128 529
0.03 128 531
0.04 128 531
0.05 128 531
0.06 127 531
0.07 127 531
0.08 127 529
0.09 127 525
0.1 125 520
0.11 122 513
0.12 120 495
0.13 120 485
0.14 119 475
0.15 118 465
0.16 118 453
0.17 118 440
0.18 118 426
0.19 118 410
0.2 118 382
0.21 118 369
0.22 118 357
0.23 118 346
0.24 119 325
0.25 119 316
0.26 119 308
0.27 118 301
0.28 118 295
0.29 118 290
0.3 118 287
0.31 118 285
0.32 220 475
0.33 223 478
0.34 226 482
0.35 228 484
0.36 229 486
0.37 231 487
0.38 232 487
0.39 232 486
0.4 232 482
0.41 231 478
0.42 231 473
0.43 231 467
0.44 227 455
0.45 225 449
0.46 221 442
0.47 217 437
0.48 205 426
0.49 198 422
0.5 192 418
0.51 185 414
0.52 173 407
0.53 168 403
0.54 164 401
0.55 161 399
0.56 157 395
0.57 155 395
0.58 155 393
0.59 155 393
0.6 155 393
0.61 157 393
0.62 159 394
0.63 160 394
0.64 162 396
0.65 165 398
0.66 166 400
0.67 170 403
0.68 176 405
0.69 179 405
0.7 182 406
0.71 183 406
0.72 187 405
0.73 189 403
0.74 192 400
0.75 194 396
0.76 199 385
0.77 202 379
0.78 203 372
0.79 205 364
0.8 210 347
0.81 213 338
0.82 215 329
0.83 217 321
0.84 220 306
0.85 222 300
0.86 224 294
0.87 224 289
0.88 228 282
0.89 228 279

Label: 4
Points: 3
0 0 0
0 0 0
0.01 0 0

Label: 7
Points: 4
0 0 0
0.01 0 0
0 0 0
0 0 0

Label: 6
Points: 198
0 116 469
0.01 117 470
0.02 117 472
0.03 118 472
0.04 120 472
0.05 120 472
0.06 118 472
0.07 116 469
0.08 116 467
0.09 116 462
0.1 115 458
0.11 115 453
0.12 113 446
0.13 113 438
0.14 110 430
0.15 109 420
0.16 106 410
0.17 103 399
0.18 100 387
0.19 91 366
0.2 88 355
0.21 84 345
0.22 80 335
0.23 78 325
0.24 75 315
0.25 72 306
0.26 71 298
0.27 71 288
0.28 71 285
0.29 71 284
0.3 71 284
0.31 71 283
0.32 71 285
0.33 71 287
0.34 73 290
0.35 76 301
0.36 78 305
0.37 80 309
0.38 83 315
0.39 87 318
0.4 91 323
0.41 95 328
0.42 98 332
0.43 105 336
0.44 108 336
0.45 112 336
0.46 116 335
0.47 125 331
0.48 131 328
0.49 137 323
0.5 143 319
0.51 157 310
0.52 165 306
0.53 174 301
0.54 182 297
0.55 200 292
0.56 207 290
0.57 214 289
0.58 221 289
0.59 199 413
0.6 194 411
0.61 189 409
0.62 182 408
0.63 164 406
0.64 154 406
0.65 144 405
0.66 134 406
0.67 115 408
0.68 107 408
0.69 100 409
0.7 94 410
0.71 220 489
0.72 220 489
0.73 217 489
0.74 213 489
0.75 203 489
0.76 195 489
0.77 186 490
0.78 176 491
0.79 166 493
0.8 152 494
0.81 138 496
0.82 122 499
0.83 107 500
0 0 0
0 0 0
0 85 462
0.01 85 462
0.02 84 462
0.03 84 462
0.04 84 462
0.05 84 462
0.06 84 461
0.07 84 461
0.08 84 460
0.09 85 460
0.1 85 460
0.11 87 460
0.12 90 460
0.13 93 457
0.14 96 457
0.15 99 455
0.16 110 451
0.17 115 451
0.18 130 448
0.19 141 446
0.2 151 445
0.21 162 445
0.22 174 443
0.23 189 443
0.24 203 441
0.25 216 439
0.26 235 438
0.27 240 436
0.28 245 436
0.29 248 435
0.3 250 434
0.31 250 434
0.32 250 432
0.33 246 430
0.34 242 429
0.35 233 426
0.36 222 422
0.37 212 417
0.38 199 410
0.39 186 403
0.4 173 395
0.41 161 387
0.42 140 371
0.43 130 364
0.44 120 358
0.45 111 352
0.46 100 340
0.47 95 335
0.48 92 330
0.49 90 326
0.5 88 321
0.51 88 317
0.52 87 312
0.53 87 308
0.54 88 303
0.55 90 302
0.56 92 302
0.57 94 301
0.58 99 301
0.59 101 301
0.6 105 301
0.61 109 301
0.62 118 301
0.63 124 301
0.64 129 301
0.65 137 301
0.66 147 301
0.67 157 301
0.68 169 299
0.69 188 297
0.7 197 296
0.71 205 294
0.72 213 294
0.73 227 293
0.74 233 293
0.75 237 294
0.76 241 296
0.77 221 372
0.78 217 371
0.79 211 371
0.8 203 371
0.81 184 374
0.82 172 376
0.83 160 377
0.84 148 378
0.85 137 380
0.86 125 380
0.87 115 380
0 0 0
0.01 0 0
0 162 354
0.01 162 357
0.02 160 359
0.03 160 360
0.04 158 362
0.05 158 362
0.06 158 362
0.07 158 362
0.08 158 360
0.09 158 357
0.1 157 353
0.11 157 347
0.12 157 340
0.13 154 329
0.14 152 318
0.15 149 307
0.16 143 287
0.17 140 278
0.18 137 269
0.19 134 262
0.2 127 247
0.21 124 241

Label: 9
Points: 73
0 78 479
0.01 78 480
0.02 78 480
0.03 77 480
0.04 77 480
0.05 77 479
0.06 77 479
0.07 77 477
0.08 77 475
0.09 79 468
0.1 79 463
0.11 81 457
0.12 82 452
0.13 82 445
0.14 83 437
0.15 83 426
0.16 83 415
0.17 80 392
0.18 79 382
0.19 79 371
0.2 79 361
0.21 77 350
0.22 79 337
0.23 79 327
0.24 76 317
0.25 74 300
0.26 74 294
0.27 72 289
0.28 72 285
0.29 186 503
0.3 186 503
0.31 186 502
0.32 186 501
0.33 190 494
0.34 192 490
0.35 193 486
0.36 193 481
0.37 195 475
0.38 195 466
0.39 195 455
0.4 195 444
0.41 193 421
0.42 193 409
0.43 193 397
0.44 193 384
0.45 193 371
0.46 193 355
0.47 193 339
0.48 194 325
0.49 194 301
0.5 194 292
0.51 194 284
0.52 194 278
0.53 194 272
0.54 193 269
0.55 193 267
0.56 193 264
0.57 187 374
0.58 185 374
0.59 182 376
0.6 179 376
0.61 167 375
0.62 158 375
0.63 148 373
0.64 136 373
0.65 116 371
0.66 108 370
0.67 100 370
0.68 94 368
0 0 0
0 0 0
0 0 0
0 0 0

Label: 8
Points: 254
0 205 477
0.01 202 479
0.02 198 481
0.03 194 482
0.04 188 482
0.05 184 484
0.06 180 484
0.07 177 484
0.08 173 485
0.09 168 483
0.1 162 482
0.11 156 480
0.12 142 473
0.13 135 468
0.14 127 463
0.15 120 456
0.16 102 441
0.17 93 432
0.18 85 422
0.19 78 413
0.2 67 392
0.21 63 382
0.22 61 372
0.23 61 362
0.24 63 344
0.25 67 335
0.26 72 328
0.27 79 321
0.28 96 309
0.29 107 305
0.3 119 301
0.31 132 298
0.32 145 297
0.33 159 297
0.34 174 299
0.35 186 304
0.36 141 387
0.37 141 387
0.38 141 387
0.39 141 387
0.4 141 388
0.41 143 390
0.42 145 391
0.43 147 393
0.44 151 395
0.45 156 398
0.46 161 400
0.47 168 402
0.48 176 408
0.49 182 410
0.5 185 411
0.51 189 412
0.52 194 413
0.53 197 413
0.54 201 415
0.55 204 415
0.56 206 415
0.57 210 413
0.58 210 412
0.59 210 410
0.6 210 407
0.61 210 403
0.62 208 399
0.63 208 391
0.64 206 377
0.65 205 369
0.66 203 362
0.67 201 353
0.68 196 334
0.69 193 325
0.7 190 317
0.71 188 310
0.72 186 303
0.73 186 294
0.74 183 288
0.75 181 283
0.76 179 275
0.77 179 274
0.78 178 272
0.79 178 271
0 93 494
0.01 93 494
0.02 93 494
0.03 93 494
0.04 94 494
0.05 94 493
0.06 94 491
0.07 96 488
0.08 96 486
0.09 99 479
0.1 99 476
0.11 101 472
0.12 102 468
0.13 104 460
0.14 106 455
0.15 106 451
0.16 107 445
0.17 107 438
0.18 109 430
0.19 109 421
0.2 109 411
0.21 108 393
0.22 106 385
0.23 106 377
0.24 103 369
0.25 102 361
0.26 102 353
0.27 99 345
0.28 99 339
0.29 99 333
0.3 101 333
0.31 101 331
0.32 101 331
0.33 99 334
0.34 98 337
0.35 96 341
0.36 96 346
0.37 96 360
0.38 95 368
0.39 95 377
0.4 95 388
0.41 96 398
0.42 98 411
0.43 98 424
0.44 100 435
0.45 102 454
0.46 103 461
0.47 103 467
0.48 105 474
0.49 107 482
0.5 107 486
0.51 107 488
0.52 108 490
0.53 108 492
0.54 108 492
0.55 108 493
0.56 108 495
0.57 108 495
0.58 108 495
0.59 107 495
0.6 107 493
0.61 110 491
0.62 110 488
0.63 111 484
0.64 113 478
0.65 115 468
0.66 118 462
0.67 121 457
0.68 125 449
0.69 134 434
0.7 139 427
0.71 144 419
0.72 149 412
0.73 158 399
0.74 162 394
0.75 166 389
0.76 169 384
0.77 175 376
0.78 177 373
0.79 180 371
0.8 180 371
0.81 182 369
0.82 182 369
0.83 182 371
0.84 184 372
0.85 186 375
0.86 186 379
0.87 190 385
0.88 192 392
0.89 195 408
0.9 197 416
0.91 197 423
0.92 199 431
0.93 203 446
0.94 205 452
0.95 207 457
0.96 207 462
0.97 209 466
0.98 210 470
0.99 210 474
1.0 210 477
1.01 215 479
1.02 217 479
1.03 219 479
1.04 220 481
1.05 222 481
1.06 222 480
1.07 223 480
1.08 223 477
1.09 228 474
1.1 229 470
1.11 231 467
1.12 231 463
1.13 232 457
1.14 234 450
1.15 234 442
1.16 234 432
1.17 238 422
1.18 238 412
1.19 239 401
1.2 242 389
1.21 245 371
1.22 247 363
1.23 247 356
1.24 250 349
1.25 252 341
1.26 254 333
1.27 259 325
1.28 261 318
0 141 445
0.01 141 445
0.02 142 447
0.03 142 447
0.04 141 447
0.05 141 447
0.06 140 447
0.07 140 446
0.08 142 444
0.09 142 442
0.1 142 440
0.11 142 436
0.12 140 432
0.13 140 425
0.14 138 419
0.15 136 411
0.16 132 394
0.17 132 386
0.18 132 377
0.19 132 369
0.2 134 351
0.21 136 342
0.22 136 334
0.23 138 326
0.24 141 313
0.25 141 307
0.26 141 302
0.27 142 299
0.28 142 295
0.29 214 470
0.3 212 469
0.31 208 469
0.32 204 467
0.33 192 466
0.34 182 466
0.35 170 465
0.36 159 464
0.37 146 462
0.38 128 459
0.39 109 456
0.4 89 453
0.41 57 447
0.42 45 444
0.43 35 442
0.44 28 440

